timestamp,date,account,asset_type,amount_inr,notes,source
2026-04-07T15:32:00+05:30,2026-04-07,Kotak Neo,Stocks,100000,current holdings snapshot confirmed by user,manual-chat
2026-04-07T15:32:00+05:30,2026-04-07,Groww,Stocks,30000,current holdings snapshot confirmed by user,manual-chat
2026-04-07T15:32:00+05:30,2026-04-07,Fixed Deposits,FD,90000,current holdings snapshot confirmed by user,manual-chat
2026-06-04T19:55:00+05:30,2026-06-04,Investment,Investments,40000,monthly investment,,manual-chat
2026-06-06T21:02:00+05:30,2026-06-06,Fixed Deposits,FD,-5000,withdrawal,,manual-chat
2026-06-23T09:25:00+05:30,2026-06-23,Fixed Deposits,FD,-5000,withdrawal,,manual-chat
2026-07-04T20:20:00+05:30,2026-07-04,Fixed Deposits,FD,-20000,withdrawal (new flat),,manual-chat
2026-07-04T20:41:00+05:30,2026-07-04,Fixed Deposits,FD,-10000,withdrawal (total now 50k),,manual-chat
2026-07-16T13:13:00+05:30,2026-07-16,Fixed Deposits,FD,-5000,withdrawal,,manual-chat
